batch_idx,round_i,sample_idx,kind,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias,mean_xi_minus_q,var_xi_minus_q,mean_xi_minus_p,var_xi_minus_p
0,0,0,proposal,1.0,0.6261138319969177,False,True,9.637867333367467e-05,0.06476646661758423,0.06476646661758423,-323.83233642578125,-323.83233642578125,0.0,1.0,0.009999999776482582,fixed,1.0,0.0001865234662545845,9.634387970436364e-05,0.0001865234662545845,9.634387970436364e-05
0,0,1,proposal,1.0,0.913435697555542,False,True,9.524385677650571e-05,0.06400386989116669,0.06400386989116669,-320.01934814453125,-320.01934814453125,0.0,1.0,0.009999999776482582,fixed,1.0,-1.1610832189035136e-05,9.524371853331104e-05,-1.1610832189035136e-05,9.524371853331104e-05
0,0,2,proposal,1.0,0.15736445784568787,False,True,9.967621735995635e-05,0.06698241829872131,0.06698241829872131,-334.912109375,-334.912109375,0.0,1.0,0.009999999776482582,fixed,1.0,0.0002095559029839933,9.963231423171237e-05,0.0002095559029839933,9.963231423171237e-05
0,1,0,proposal,1.0,0.7847285270690918,False,True,9.525474160909653e-05,0.06401118636131287,0.06401118636131287,-320.0559387207031,-320.0559387207031,0.0,1.0,0.009999999776482582,fixed,1.0,-0.00048036413500085473,9.502399188932031e-05,-0.00048036413500085473,9.502399188932031e-05
0,1,1,proposal,1.0,0.8681128025054932,False,True,0.0001079678040696308,0.07255436480045319,0.07255436480045319,-362.7718200683594,-362.7718200683594,0.0,1.0,0.009999999776482582,fixed,1.0,-0.0004261702415533364,0.00010778618889162317,-0.0004261702415533364,0.00010778618889162317
0,1,2,proposal,1.0,0.8619871735572815,False,True,0.00010339614527765661,0.06948220729827881,0.06948220729827881,-347.4110412597656,-347.4110412597656,0.0,1.0,0.009999999776482582,fixed,1.0,0.00018141478358302265,0.00010336323612136766,0.00018141478358302265,0.00010336323612136766
0,2,0,proposal,1.0,0.8161815404891968,False,True,9.66216903179884e-05,0.0649297684431076,0.0649297684431076,-324.64886474609375,-324.64886474609375,0.0,1.0,0.009999999776482582,fixed,1.0,-0.00029427860863506794,9.6535099146422e-05,-0.00029427860863506794,9.6535099146422e-05
0,2,1,proposal,1.0,0.9722701907157898,False,True,9.885042527457699e-05,0.06642748415470123,0.06642748415470123,-332.1374206542969,-332.1374206542969,0.0,1.0,0.009999999776482582,fixed,1.0,0.0010639617685228586,9.771840268513188e-05,0.0010639617685228586,9.771840268513188e-05
0,2,2,proposal,1.0,0.8870962858200073,False,True,9.976088040275499e-05,0.06703931093215942,0.06703931093215942,-335.1965637207031,-335.1965637207031,0.0,1.0,0.009999999776482582,fixed,1.0,-0.00040210221777670085,9.959919407265261e-05,-0.00040210221777670085,9.959919407265261e-05
1,0,0,proposal,1.0,0.1548151671886444,False,True,9.08204383449629e-05,0.06103133410215378,0.06103133410215378,-305.15667724609375,-305.15667724609375,0.0,1.0,0.009999999776482582,fixed,1.0,0.00024840328842401505,9.0758730948437e-05,0.00024840328842401505,9.0758730948437e-05
